================ Training Loss (Fri Jun  5 17:44:54 2020) ================
(epoch: 1, iters: 100, time: 0.737, data: 0.124) D_A: 0.328 G_A: 0.308 cycle_A: 2.285 idt_A: 1.586 D_B: 0.344 G_B: 0.283 cycle_B: 3.358 idt_B: 0.997 
(epoch: 2, iters: 20, time: 0.738, data: 0.002) D_A: 0.247 G_A: 0.458 cycle_A: 2.033 idt_A: 0.806 D_B: 0.270 G_B: 0.349 cycle_B: 1.613 idt_B: 1.030 
(epoch: 2, iters: 120, time: 1.527, data: 0.001) D_A: 0.312 G_A: 0.221 cycle_A: 2.204 idt_A: 1.515 D_B: 0.236 G_B: 0.353 cycle_B: 3.331 idt_B: 0.678 
(epoch: 3, iters: 40, time: 0.954, data: 0.002) D_A: 0.243 G_A: 0.212 cycle_A: 1.480 idt_A: 0.590 D_B: 0.312 G_B: 0.298 cycle_B: 1.251 idt_B: 0.709 
(epoch: 3, iters: 140, time: 0.740, data: 0.001) D_A: 0.297 G_A: 0.379 cycle_A: 2.492 idt_A: 1.236 D_B: 0.160 G_B: 0.439 cycle_B: 2.547 idt_B: 1.079 
(epoch: 4, iters: 60, time: 0.740, data: 0.002) D_A: 0.142 G_A: 0.455 cycle_A: 2.510 idt_A: 0.884 D_B: 0.170 G_B: 0.410 cycle_B: 1.914 idt_B: 0.839 
(epoch: 4, iters: 160, time: 0.740, data: 0.001) D_A: 0.202 G_A: 0.379 cycle_A: 2.396 idt_A: 1.696 D_B: 0.249 G_B: 0.354 cycle_B: 3.284 idt_B: 1.381 
(epoch: 5, iters: 80, time: 0.934, data: 0.001) D_A: 0.243 G_A: 0.426 cycle_A: 1.201 idt_A: 0.667 D_B: 0.257 G_B: 0.429 cycle_B: 1.506 idt_B: 0.458 
(epoch: 5, iters: 180, time: 0.735, data: 0.001) D_A: 0.161 G_A: 0.420 cycle_A: 2.039 idt_A: 0.638 D_B: 0.276 G_B: 0.121 cycle_B: 1.284 idt_B: 1.305 
(epoch: 6, iters: 100, time: 0.736, data: 0.116) D_A: 0.201 G_A: 0.370 cycle_A: 1.545 idt_A: 0.644 D_B: 0.142 G_B: 0.295 cycle_B: 1.416 idt_B: 0.725 
(epoch: 7, iters: 20, time: 0.736, data: 0.001) D_A: 0.185 G_A: 0.382 cycle_A: 1.429 idt_A: 0.782 D_B: 0.208 G_B: 0.488 cycle_B: 1.904 idt_B: 0.578 
(epoch: 7, iters: 120, time: 0.958, data: 0.002) D_A: 0.211 G_A: 0.304 cycle_A: 2.769 idt_A: 1.079 D_B: 0.203 G_B: 0.386 cycle_B: 2.691 idt_B: 1.230 
(epoch: 8, iters: 40, time: 0.740, data: 0.001) D_A: 0.289 G_A: 0.319 cycle_A: 1.260 idt_A: 0.836 D_B: 0.216 G_B: 0.233 cycle_B: 1.872 idt_B: 0.561 
(epoch: 8, iters: 140, time: 0.738, data: 0.001) D_A: 0.182 G_A: 0.383 cycle_A: 1.162 idt_A: 0.689 D_B: 0.275 G_B: 0.441 cycle_B: 1.360 idt_B: 0.508 
(epoch: 9, iters: 60, time: 0.737, data: 0.002) D_A: 0.232 G_A: 0.312 cycle_A: 2.538 idt_A: 0.690 D_B: 0.225 G_B: 0.224 cycle_B: 1.427 idt_B: 1.155 
(epoch: 9, iters: 160, time: 0.971, data: 0.001) D_A: 0.183 G_A: 0.369 cycle_A: 1.279 idt_A: 0.972 D_B: 0.257 G_B: 0.283 cycle_B: 2.076 idt_B: 0.567 
(epoch: 10, iters: 80, time: 0.738, data: 0.001) D_A: 0.190 G_A: 0.806 cycle_A: 1.904 idt_A: 0.795 D_B: 0.204 G_B: 0.761 cycle_B: 2.060 idt_B: 1.003 
(epoch: 10, iters: 180, time: 0.737, data: 0.001) D_A: 0.413 G_A: 0.210 cycle_A: 1.360 idt_A: 0.991 D_B: 0.168 G_B: 0.567 cycle_B: 1.929 idt_B: 0.474 
(epoch: 11, iters: 100, time: 0.739, data: 0.123) D_A: 0.247 G_A: 0.153 cycle_A: 1.282 idt_A: 0.724 D_B: 0.175 G_B: 0.333 cycle_B: 1.323 idt_B: 0.507 
(epoch: 12, iters: 20, time: 1.889, data: 0.001) D_A: 0.149 G_A: 0.308 cycle_A: 2.337 idt_A: 1.739 D_B: 0.241 G_B: 0.464 cycle_B: 3.406 idt_B: 1.020 
(epoch: 12, iters: 120, time: 1.856, data: 0.002) D_A: 0.354 G_A: 0.999 cycle_A: 1.625 idt_A: 0.998 D_B: 0.242 G_B: 0.441 cycle_B: 2.341 idt_B: 0.660 
(epoch: 13, iters: 40, time: 0.737, data: 0.002) D_A: 0.148 G_A: 0.435 cycle_A: 3.511 idt_A: 0.741 D_B: 0.122 G_B: 0.483 cycle_B: 2.574 idt_B: 1.674 
(epoch: 13, iters: 140, time: 0.743, data: 0.001) D_A: 0.414 G_A: 0.656 cycle_A: 1.517 idt_A: 0.569 D_B: 0.545 G_B: 0.340 cycle_B: 1.441 idt_B: 0.640 
(epoch: 14, iters: 60, time: 0.995, data: 0.001) D_A: 0.126 G_A: 0.157 cycle_A: 1.682 idt_A: 1.360 D_B: 0.277 G_B: 0.355 cycle_B: 2.561 idt_B: 0.573 
(epoch: 14, iters: 160, time: 0.742, data: 0.001) D_A: 0.413 G_A: 0.634 cycle_A: 1.522 idt_A: 1.065 D_B: 0.358 G_B: 0.138 cycle_B: 2.711 idt_B: 0.609 
(epoch: 15, iters: 80, time: 0.738, data: 0.001) D_A: 0.118 G_A: 0.704 cycle_A: 0.888 idt_A: 0.474 D_B: 0.254 G_B: 0.331 cycle_B: 1.159 idt_B: 0.383 
(epoch: 15, iters: 180, time: 0.740, data: 0.001) D_A: 0.370 G_A: 0.822 cycle_A: 1.545 idt_A: 1.158 D_B: 0.263 G_B: 0.255 cycle_B: 1.957 idt_B: 0.574 
(epoch: 16, iters: 100, time: 1.171, data: 0.117) D_A: 0.241 G_A: 0.162 cycle_A: 0.973 idt_A: 0.827 D_B: 0.340 G_B: 0.379 cycle_B: 1.312 idt_B: 0.570 
(epoch: 17, iters: 20, time: 1.827, data: 0.002) D_A: 0.292 G_A: 0.693 cycle_A: 1.377 idt_A: 1.012 D_B: 0.200 G_B: 0.277 cycle_B: 1.576 idt_B: 0.646 
(epoch: 17, iters: 120, time: 0.744, data: 0.001) D_A: 0.244 G_A: 0.493 cycle_A: 1.065 idt_A: 0.661 D_B: 0.317 G_B: 0.355 cycle_B: 1.518 idt_B: 0.580 
(epoch: 18, iters: 40, time: 0.739, data: 0.001) D_A: 0.270 G_A: 0.203 cycle_A: 1.007 idt_A: 0.586 D_B: 0.205 G_B: 0.251 cycle_B: 1.225 idt_B: 0.434 
(epoch: 18, iters: 140, time: 1.060, data: 0.001) D_A: 0.121 G_A: 0.503 cycle_A: 1.106 idt_A: 0.717 D_B: 0.209 G_B: 0.611 cycle_B: 1.962 idt_B: 0.571 
(epoch: 19, iters: 60, time: 0.737, data: 0.001) D_A: 0.101 G_A: 0.608 cycle_A: 1.687 idt_A: 0.827 D_B: 0.186 G_B: 0.442 cycle_B: 1.271 idt_B: 0.766 
(epoch: 19, iters: 160, time: 0.738, data: 0.002) D_A: 0.413 G_A: 0.653 cycle_A: 1.440 idt_A: 0.678 D_B: 0.263 G_B: 0.207 cycle_B: 1.468 idt_B: 0.631 
(epoch: 20, iters: 80, time: 0.737, data: 0.001) D_A: 0.161 G_A: 0.341 cycle_A: 2.142 idt_A: 0.587 D_B: 0.136 G_B: 0.584 cycle_B: 1.335 idt_B: 0.741 
(epoch: 20, iters: 180, time: 1.046, data: 0.001) D_A: 0.236 G_A: 0.536 cycle_A: 2.660 idt_A: 0.664 D_B: 0.161 G_B: 0.260 cycle_B: 1.390 idt_B: 1.171 
(epoch: 21, iters: 100, time: 0.739, data: 0.102) D_A: 0.396 G_A: 0.063 cycle_A: 2.074 idt_A: 0.638 D_B: 0.273 G_B: 0.507 cycle_B: 1.235 idt_B: 1.000 
(epoch: 22, iters: 20, time: 0.741, data: 0.002) D_A: 0.149 G_A: 0.864 cycle_A: 1.190 idt_A: 0.649 D_B: 0.223 G_B: 0.168 cycle_B: 1.538 idt_B: 0.623 
(epoch: 22, iters: 120, time: 0.738, data: 0.002) D_A: 0.230 G_A: 0.514 cycle_A: 1.194 idt_A: 0.603 D_B: 0.190 G_B: 0.383 cycle_B: 1.085 idt_B: 0.632 
(epoch: 23, iters: 40, time: 1.064, data: 0.002) D_A: 0.258 G_A: 0.091 cycle_A: 1.871 idt_A: 1.052 D_B: 0.263 G_B: 0.772 cycle_B: 2.009 idt_B: 0.734 
(epoch: 23, iters: 140, time: 0.736, data: 0.001) D_A: 0.302 G_A: 0.454 cycle_A: 1.002 idt_A: 1.007 D_B: 0.364 G_B: 0.494 cycle_B: 1.491 idt_B: 0.353 
(epoch: 24, iters: 60, time: 0.740, data: 0.001) D_A: 0.265 G_A: 0.154 cycle_A: 2.793 idt_A: 1.039 D_B: 0.402 G_B: 0.264 cycle_B: 1.537 idt_B: 1.165 
(epoch: 24, iters: 160, time: 0.739, data: 0.001) D_A: 0.195 G_A: 0.295 cycle_A: 1.516 idt_A: 1.287 D_B: 0.157 G_B: 0.578 cycle_B: 2.660 idt_B: 0.487 
(epoch: 25, iters: 80, time: 1.055, data: 0.001) D_A: 0.244 G_A: 0.203 cycle_A: 1.048 idt_A: 0.838 D_B: 0.273 G_B: 0.453 cycle_B: 1.783 idt_B: 0.534 
(epoch: 25, iters: 180, time: 0.738, data: 0.001) D_A: 0.250 G_A: 0.479 cycle_A: 1.236 idt_A: 0.855 D_B: 0.220 G_B: 0.539 cycle_B: 1.931 idt_B: 0.650 
(epoch: 26, iters: 100, time: 0.737, data: 0.100) D_A: 0.204 G_A: 0.214 cycle_A: 1.030 idt_A: 0.668 D_B: 0.292 G_B: 0.437 cycle_B: 1.519 idt_B: 0.510 
(epoch: 27, iters: 20, time: 0.738, data: 0.001) D_A: 0.441 G_A: 0.046 cycle_A: 0.981 idt_A: 0.937 D_B: 0.321 G_B: 0.405 cycle_B: 1.364 idt_B: 0.439 
(epoch: 27, iters: 120, time: 1.097, data: 0.001) D_A: 0.124 G_A: 0.413 cycle_A: 1.210 idt_A: 1.441 D_B: 0.141 G_B: 0.617 cycle_B: 2.499 idt_B: 0.576 
(epoch: 28, iters: 40, time: 0.738, data: 0.001) D_A: 0.173 G_A: 0.332 cycle_A: 0.983 idt_A: 0.470 D_B: 0.202 G_B: 0.341 cycle_B: 1.159 idt_B: 0.381 
(epoch: 28, iters: 140, time: 0.736, data: 0.001) D_A: 0.119 G_A: 0.730 cycle_A: 1.534 idt_A: 0.853 D_B: 0.198 G_B: 0.776 cycle_B: 1.699 idt_B: 0.555 
(epoch: 29, iters: 60, time: 0.738, data: 0.002) D_A: 0.230 G_A: 0.227 cycle_A: 1.037 idt_A: 0.507 D_B: 0.319 G_B: 0.655 cycle_B: 1.407 idt_B: 0.491 
(epoch: 29, iters: 160, time: 1.099, data: 0.001) D_A: 0.049 G_A: 0.726 cycle_A: 0.956 idt_A: 0.600 D_B: 0.106 G_B: 0.433 cycle_B: 1.373 idt_B: 0.527 
(epoch: 30, iters: 80, time: 0.737, data: 0.001) D_A: 0.346 G_A: 0.441 cycle_A: 1.557 idt_A: 0.711 D_B: 0.314 G_B: 0.152 cycle_B: 1.678 idt_B: 0.719 
(epoch: 30, iters: 180, time: 0.737, data: 0.001) D_A: 0.401 G_A: 0.262 cycle_A: 3.853 idt_A: 0.468 D_B: 0.229 G_B: 0.223 cycle_B: 1.136 idt_B: 1.665 
(epoch: 31, iters: 100, time: 0.739, data: 0.117) D_A: 0.103 G_A: 0.750 cycle_A: 0.693 idt_A: 0.600 D_B: 0.165 G_B: 0.268 cycle_B: 1.313 idt_B: 0.516 
(epoch: 32, iters: 20, time: 1.100, data: 0.002) D_A: 0.190 G_A: 0.154 cycle_A: 1.025 idt_A: 0.478 D_B: 0.218 G_B: 0.240 cycle_B: 1.260 idt_B: 0.493 
(epoch: 32, iters: 120, time: 0.739, data: 0.001) D_A: 0.148 G_A: 0.491 cycle_A: 1.655 idt_A: 0.703 D_B: 0.279 G_B: 0.155 cycle_B: 1.294 idt_B: 0.683 
(epoch: 33, iters: 40, time: 0.740, data: 0.001) D_A: 0.295 G_A: 0.068 cycle_A: 1.101 idt_A: 0.508 D_B: 0.261 G_B: 0.109 cycle_B: 1.204 idt_B: 0.487 
(epoch: 33, iters: 140, time: 0.737, data: 0.001) D_A: 0.232 G_A: 0.185 cycle_A: 2.912 idt_A: 0.741 D_B: 0.341 G_B: 0.357 cycle_B: 1.371 idt_B: 1.261 
(epoch: 34, iters: 60, time: 1.141, data: 0.001) D_A: 0.095 G_A: 0.567 cycle_A: 1.269 idt_A: 0.694 D_B: 0.230 G_B: 0.229 cycle_B: 1.580 idt_B: 0.574 
(epoch: 34, iters: 160, time: 0.736, data: 0.002) D_A: 0.154 G_A: 0.318 cycle_A: 0.657 idt_A: 0.510 D_B: 0.332 G_B: 0.909 cycle_B: 1.680 idt_B: 0.363 
(epoch: 35, iters: 80, time: 0.735, data: 0.001) D_A: 0.104 G_A: 0.569 cycle_A: 1.119 idt_A: 0.963 D_B: 0.142 G_B: 0.340 cycle_B: 1.932 idt_B: 0.595 
(epoch: 35, iters: 180, time: 0.736, data: 0.001) D_A: 0.236 G_A: 0.427 cycle_A: 0.940 idt_A: 0.576 D_B: 0.200 G_B: 0.564 cycle_B: 0.945 idt_B: 0.329 
